numero_piece,date_charge,code_dept,categorie_charge,sous_categorie,fournisseur,nature_charge,montant_ht,montant_tva,montant_ttc,est_budgetee,date_id_charge,annee,mois
PCE-000001,2025-08-01,DEPT-003,Sous-traitance,Consultants,TOTAL MADA,Exploitation,19553.13,3910.63,23463.76,0,20250801,2025,8
PCE-000002,2024-07-11,DEPT-003,Déplacements & Missions,Hôtel & restauration,SECURITE MADA,Exploitation,837.92,167.58,1005.5,0,20240711,2024,7
PCE-000003,2023-05-04,DEPT-005,Salaires & Charges sociales,Salaires bruts,NETTOYAGE SERVICE,Exploitation,63938.7,0.0,63938.7,1,20230504,2023,5
PCE-000004,2025-08-28,DEPT-003,Déplacements & Missions,Carburant,MICROSOFT MADA,Exploitation,929.24,185.85,1115.09,1,20250828,2025,8
PCE-000005,2023-01-03,DEPT-002,Salaires & Charges sociales,Avantages en nature,FOURNITURES PRO,Exploitation,13010.32,0.0,13010.32,1,20230103,2023,1
PCE-000006,2025-05-01,DEPT-002,Formation & Développement,Formations externes,IBM MADA,Exploitation,3250.83,650.17,3901.0,0,20250501,2025,5
PCE-000007,2024-05-17,DEPT-008,Loyer & Charges locatives,Loyer bureaux,FOURNITURES PRO,Exploitation,4218.27,0.0,4218.27,1,20240517,2024,5
PCE-000008,2025-10-26,DEPT-006,Informatique & Licences,Cloud & hébergement,TRANSPORT EXPRESS,Exploitation,13372.21,2674.44,16046.65,1,20251026,2025,10
PCE-000009,2023-03-18,DEPT-003,Déplacements & Missions,Hôtel & restauration,TOTAL MADA,Exploitation,2594.26,518.85,3113.11,1,20230318,2023,3
PCE-000010,2023-07-09,DEPT-001,Formation & Développement,Abonnements professionnels,MICROSOFT MADA,Exploitation,4417.92,883.58,5301.5,0,20230709,2023,7
PCE-000011,2024-01-19,DEPT-003,Déplacements & Missions,Hôtel & restauration,AGENCE VOYAGE,Exploitation,1045.29,209.06,1254.35,0,20240119,2024,1
PCE-000012,2023-01-07,DEPT-008,Loyer & Charges locatives,Charges communes,TRANSPORT EXPRESS,Exploitation,7472.2,0.0,7472.2,1,20230107,2023,1
PCE-000013,2025-03-08,DEPT-006,Informatique & Licences,Matériel informatique,CONSULTANTS SA,Exploitation,9533.26,1906.65,11439.91,1,20250308,2025,3
PCE-000014,2023-01-09,DEPT-008,Informatique & Licences,Matériel informatique,FORMATION PLUS,Exploitation,7607.78,1521.56,9129.34,0,20230109,2023,1
PCE-000015,2024-04-14,DEPT-006,Informatique & Licences,Cloud & hébergement,NETTOYAGE SERVICE,Exploitation,4504.83,900.97,5405.8,1,20240414,2024,4
PCE-000016,2025-08-25,DEPT-006,Informatique & Licences,Maintenance SI,TOTAL MADA,Exploitation,10435.12,2087.02,12522.14,1,20250825,2025,8
PCE-000017,2024-05-26,DEPT-001,Sous-traitance,Expertise externe,HOTEL COLBERT,Exploitation,18600.42,3720.08,22320.5,1,20240526,2024,5
PCE-000018,2025-01-02,DEPT-005,Fournitures & Consommables,Fournitures de bureau,ORACLE,Exploitation,251.7,50.34,302.04,1,20250102,2025,1
PCE-000019,2023-06-24,DEPT-005,Formation & Développement,Formations externes,ORACLE,Exploitation,3830.96,766.19,4597.15,1,20230624,2023,6
PCE-000020,2023-08-07,DEPT-001,Formation & Développement,Abonnements professionnels,TOTAL MADA,Exploitation,2694.22,538.84,3233.06,1,20230807,2023,8
PCE-000021,2024-11-22,DEPT-005,Fournitures & Consommables,Documentation,TRANSPORT EXPRESS,Exploitation,710.57,142.11,852.68,1,20241122,2024,11
PCE-000022,2024-07-06,DEPT-006,Informatique & Licences,Maintenance SI,AGENCE VOYAGE,Exploitation,2266.77,453.35,2720.12,1,20240706,2024,7
PCE-000023,2023-01-26,DEPT-006,Informatique & Licences,Cloud & hébergement,IT SOLUTIONS,Exploitation,2536.94,507.39,3044.33,1,20230126,2023,1
PCE-000024,2024-10-16,DEPT-001,Déplacements & Missions,Carburant,BAILLEUR IMMO,Exploitation,1745.39,349.08,2094.47,1,20241016,2024,10
PCE-000025,2025-08-27,DEPT-002,Formation & Développement,Certifications,MICROSOFT MADA,Exploitation,2969.62,593.92,3563.54,1,20250827,2025,8
PCE-000026,2024-09-14,DEPT-002,Formation & Développement,Formations externes,FORMATION PLUS,Exploitation,3166.92,633.38,3800.3,1,20240914,2024,9
PCE-000027,2023-07-30,DEPT-002,Formation & Développement,Abonnements professionnels,ORACLE,Exploitation,3426.84,685.37,4112.21,1,20230730,2023,7
PCE-000028,2023-08-20,DEPT-005,Fournitures & Consommables,Fournitures de bureau,NETTOYAGE SERVICE,Exploitation,506.27,101.25,607.52,1,20230820,2023,8
PCE-000029,2025-01-11,DEPT-005,Fournitures & Consommables,Documentation,ORANGE PRO,Exploitation,1070.71,214.14,1284.85,1,20250111,2025,1
PCE-000030,2023-12-11,DEPT-006,Informatique & Licences,Matériel informatique,NETTOYAGE SERVICE,Exploitation,6476.73,1295.35,7772.08,1,20231211,2023,12
PCE-000031,2023-03-04,DEPT-005,Formation & Développement,Formations externes,TOTAL MADA,Exploitation,986.33,197.27,1183.6,1,20230304,2023,3
PCE-000032,2025-11-02,DEPT-008,Fournitures & Consommables,Documentation,FOURNITURES PRO,Exploitation,1005.24,201.05,1206.29,1,20251102,2025,11
PCE-000033,2025-12-02,DEPT-008,Fournitures & Consommables,Documentation,ORANGE PRO,Exploitation,647.41,129.48,776.89,1,20251202,2025,12
PCE-000034,2023-10-28,DEPT-002,Formation & Développement,Formations externes,IBM MADA,Exploitation,2585.08,517.02,3102.1,0,20231028,2023,10
PCE-000035,2025-02-28,DEPT-002,Formation & Développement,Formations externes,IT SOLUTIONS,Exploitation,2556.78,511.36,3068.14,1,20250228,2025,2
PCE-000036,2024-10-01,DEPT-001,Déplacements & Missions,Hôtel & restauration,IBM MADA,Exploitation,2878.46,575.69,3454.15,1,20241001,2024,10
PCE-000037,2023-11-03,DEPT-001,Sous-traitance,Expertise externe,ORANGE PRO,Exploitation,14667.14,2933.43,17600.57,1,20231103,2023,11
PCE-000038,2023-05-07,DEPT-008,Loyer & Charges locatives,Loyer bureaux,BAILLEUR IMMO,Exploitation,5104.29,0.0,5104.29,1,20230507,2023,5
PCE-000039,2025-12-28,DEPT-002,Déplacements & Missions,Hôtel & restauration,MICROSOFT MADA,Exploitation,2349.01,469.8,2818.81,0,20251228,2025,12
