code_client,raison_sociale,secteur_activite,taille_entreprise,ville,region,pays,date_entree,statut,segment,plafond_credit,conditions_paiement
CLI-0001,SOMATRANS,Industrie,PME,Toamasina,Atsinanana,Madagascar,2020-02-21,Actif,Standard,50000,45
CLI-0002,AGRI-MADAG,Commerce,TPE,Toamasina,Atsinanana,Madagascar,2023-01-21,Actif,Standard,10000,30
CLI-0003,HOTEL TROPICAL,Agriculture,TPE,Antananarivo,Analamanga,Madagascar,2020-07-10,Actif,Standard,10000,30
CLI-0004,TECH MADA,Agriculture,PME,Antananarivo,Analamanga,Madagascar,2023-02-23,Actif,Standard,50000,45
CLI-0005,CONSTRUCTION PLUS,Technologie,ETI,Antsiranana,Diana,Madagascar,2021-03-27,Actif,Grand Compte,200000,60
CLI-0006,PHARMA ISLAND,Services,TPE,Antsirabe,Vakinankaratra,Madagascar,2022-05-15,Actif,Standard,10000,30
CLI-0007,MEDIA GROUP,Commerce,TPE,Toliara,Atsimo-Andrefana,Madagascar,2020-07-28,Actif,Standard,10000,30
CLI-0008,AGRO EXPORT,Industrie,TPE,Toliara,Atsimo-Andrefana,Madagascar,2023-05-21,Actif,Standard,10000,30
CLI-0009,LOGISTIC PRO,Commerce,ETI,Ambatondrazaka,Alaotra-Mangoro,Madagascar,2023-01-03,Suspendu,Grand Compte,200000,60
CLI-0010,IMMO INVEST,Industrie,TPE,Toamasina,Atsinanana,Madagascar,2023-02-04,Actif,Standard,10000,30
CLI-0011,ELECTRICITE MADA,Agriculture,PME,Toliara,Atsimo-Andrefana,Madagascar,2023-03-28,Actif,Standard,50000,45
CLI-0012,BRASSERIE STAR,Commerce,TPE,Fianarantsoa,Haute Matsiatra,Madagascar,2021-08-15,Inactif,Standard,10000,30
CLI-0013,CIMENT MADA,Technologie,TPE,Antsiranana,Diana,Madagascar,2021-07-23,Actif,Standard,10000,30
CLI-0014,COTONA,Services,TPE,Antsirabe,Vakinankaratra,Madagascar,2022-01-28,Actif,Standard,10000,30
CLI-0015,SUCOMA,Transport,TPE,Toamasina,Atsinanana,Madagascar,2023-06-01,Actif,Standard,10000,30
CLI-0016,JIRAMA NORD,Hôtellerie,TPE,Antsirabe,Vakinankaratra,Madagascar,2022-08-04,Actif,Standard,10000,30
CLI-0017,TELMA,BTP,PME,Fianarantsoa,Haute Matsiatra,Madagascar,2021-10-26,Actif,Standard,50000,45
CLI-0018,ORANGE MADA,Industrie,TPE,Toliara,Atsimo-Andrefana,Madagascar,2022-04-01,Actif,Standard,10000,30
CLI-0019,AIRTEL MADA,Technologie,PME,Toliara,Atsimo-Andrefana,Madagascar,2021-03-11,Actif,Standard,50000,45
CLI-0020,MVOLA,Industrie,PME,Ambatondrazaka,Alaotra-Mangoro,Madagascar,2020-10-19,Actif,Standard,50000,45
CLI-0021,CREDIT FONCIER,Hôtellerie,ETI,Mahajanga,Boeny,Madagascar,2023-04-12,Inactif,Grand Compte,200000,60
CLI-0022,BOA MADA,Transport,PME,Toliara,Atsimo-Andrefana,Madagascar,2021-03-25,Actif,Standard,50000,45
CLI-0023,BMOI,Transport,TPE,Antananarivo,Analamanga,Madagascar,2020-08-12,Actif,Standard,10000,30
CLI-0024,SBM BANK,Commerce,ETI,Antsiranana,Diana,Madagascar,2023-05-06,Actif,Grand Compte,200000,60
CLI-0025,ACCESS BANK,Industrie,PME,Ambatondrazaka,Alaotra-Mangoro,Madagascar,2022-12-19,Suspendu,Standard,50000,45
CLI-0026,SOPROGIM,Industrie,TPE,Toamasina,Atsinanana,Madagascar,2023-01-04,Actif,Standard,10000,30
