numero_facture,date_emission,date_echeance,date_paiement,code_client,code_produit,code_dept,quantite,prix_unitaire_ht,remise_pct,montant_ht,montant_tva,montant_ttc,statut_paiement,montant_encaisse,jours_retard,annee_emission,mois_emission,trimestre,date_id_emission,date_id_echeance,date_id_paiement,tranche_retard
FAC-2023-00001,2025-12-28,2026-01-27,2026-02-22,CLI-0104,SVC-022,DEPT-007,7,600.0,15,3570.0,714.0,4284.0,Payée,3570.0,26,2025,12,4,20251228,20260127,20260222.0,Retard < 30j
FAC-2023-00002,2023-05-21,2023-07-05,,CLI-0011,SVC-020,DEPT-001,4,1400.0,5,5320.0,1064.0,6384.0,Partielle,4249.15,1032,2023,5,2,20230521,20230705,,Contentieux > 90j
FAC-2023-00003,2023-07-25,2023-09-08,2023-09-08,CLI-0137,SVC-004,DEPT-001,8,1200.0,0,9600.0,1920.0,11520.0,Payée,9600.0,0,2023,7,3,20230725,20230908,20230908.0,Dans les délais
FAC-2023-00004,2024-08-23,2024-10-22,2024-11-01,CLI-0103,SVC-002,DEPT-007,1,8500.0,0,8500.0,1700.0,10200.0,Payée,8500.0,10,2024,8,3,20240823,20241022,20241101.0,Retard < 30j
FAC-2023-00005,2024-01-04,2024-03-04,2024-03-23,CLI-0130,SVC-019,DEPT-007,7,180.0,0,1260.0,252.0,1512.0,Payée,1260.0,19,2024,1,1,20240104,20240304,20240323.0,Retard < 30j
FAC-2023-00006,2023-10-21,2023-12-05,2023-12-29,CLI-0075,SVC-016,DEPT-003,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,24,2023,10,4,20231021,20231205,20231229.0,Retard < 30j
FAC-2023-00007,2024-08-12,2024-09-11,2024-10-04,CLI-0003,SVC-015,DEPT-003,1,2800.0,5,2660.0,532.0,3192.0,Payée,2660.0,23,2024,8,3,20240812,20240911,20241004.0,Retard < 30j
FAC-2023-00008,2025-05-18,2025-08-16,,CLI-0179,SVC-010,DEPT-002,45,45.0,0,2025.0,405.0,2430.0,Retard,0.0,259,2025,5,2,20250518,20250816,,Contentieux > 90j
FAC-2023-00009,2023-08-07,2023-09-21,2023-10-04,CLI-0123,SVC-016,DEPT-003,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,13,2023,8,3,20230807,20230921,20231004.0,Retard < 30j
FAC-2023-00010,2025-03-21,2025-04-20,,CLI-0006,SVC-022,DEPT-001,5,600.0,0,3000.0,600.0,3600.0,Partielle,2067.47,377,2025,3,1,20250321,20250420,,Contentieux > 90j
FAC-2023-00011,2025-10-14,2025-11-28,2025-12-15,CLI-0185,SVC-024,DEPT-002,5,700.0,5,3325.0,665.0,3990.0,Payée,3325.0,17,2025,10,4,20251014,20251128,20251215.0,Retard < 30j
FAC-2023-00012,2024-05-28,2024-08-26,,CLI-0195,SVC-007,DEPT-002,1,1200.0,5,1140.0,228.0,1368.0,Retard,0.0,614,2024,5,2,20240528,20240826,,Contentieux > 90j
FAC-2023-00013,2023-03-22,2023-05-06,2023-05-24,CLI-0192,SVC-004,DEPT-002,5,1200.0,5,5700.0,1140.0,6840.0,Payée,5700.0,18,2023,3,1,20230322,20230506,20230524.0,Retard < 30j
FAC-2023-00014,2024-10-31,2024-11-30,2024-12-29,CLI-0028,SVC-010,DEPT-003,48,45.0,0,2160.0,432.0,2592.0,Payée,2160.0,29,2024,10,4,20241031,20241130,20241229.0,Retard < 30j
FAC-2023-00015,2024-07-12,2024-08-11,2024-09-05,CLI-0163,SVC-017,DEPT-003,1,950.0,10,855.0,171.0,1026.0,Payée,855.0,25,2024,7,3,20240712,20240811,20240905.0,Retard < 30j
FAC-2023-00016,2025-08-17,2025-10-16,,CLI-0107,SVC-004,DEPT-004,2,1200.0,0,2400.0,480.0,2880.0,Contentieux,0.0,198,2025,8,3,20250817,20251016,,Contentieux > 90j
FAC-2023-00017,2023-07-04,2023-08-18,2023-09-16,CLI-0171,SVC-012,DEPT-001,1,3200.0,5,3040.0,608.0,3648.0,Payée,3040.0,29,2023,7,3,20230704,20230818,20230916.0,Retard < 30j
FAC-2023-00018,2024-06-20,2024-07-20,,CLI-0142,SVC-012,DEPT-003,1,3200.0,0,3200.0,640.0,3840.0,Retard,0.0,651,2024,6,2,20240620,20240720,,Contentieux > 90j
FAC-2023-00019,2024-04-23,2024-06-07,,CLI-0033,SVC-022,DEPT-007,8,600.0,0,4800.0,960.0,5760.0,Partielle,2787.38,694,2024,4,2,20240423,20240607,,Contentieux > 90j
FAC-2023-00020,2023-05-10,2023-07-09,2023-07-30,CLI-0069,SVC-021,DEPT-001,8,800.0,10,5760.0,1152.0,6912.0,Payée,5760.0,21,2023,5,2,20230510,20230709,20230730.0,Retard < 30j
FAC-2023-00021,2023-03-18,2023-04-17,2023-04-18,CLI-0044,SVC-002,DEPT-002,1,8500.0,0,8500.0,1700.0,10200.0,Payée,8500.0,1,2023,3,1,20230318,20230417,20230418.0,Retard < 30j
FAC-2023-00022,2025-03-06,2025-05-05,,CLI-0165,SVC-005,DEPT-007,1,15000.0,0,15000.0,3000.0,18000.0,Retard,0.0,362,2025,3,1,20250306,20250505,,Contentieux > 90j
FAC-2023-00023,2023-11-13,2023-12-28,,CLI-0133,SVC-019,DEPT-007,15,180.0,5,2565.0,513.0,3078.0,Retard,0.0,856,2023,11,4,20231113,20231228,,Contentieux > 90j
FAC-2023-00024,2023-03-09,2023-04-08,2023-05-01,CLI-0129,SVC-009,DEPT-002,1,180.0,5,171.0,34.2,205.2,Payée,171.0,23,2023,3,1,20230309,20230408,20230501.0,Retard < 30j
FAC-2023-00025,2025-01-22,2025-02-21,2025-02-21,CLI-0115,SVC-004,DEPT-004,9,1200.0,10,9720.0,1944.0,11664.0,Payée,9720.0,0,2025,1,1,20250122,20250221,20250221.0,Dans les délais
FAC-2023-00026,2023-09-08,2023-10-23,,CLI-0088,SVC-007,DEPT-001,1,1200.0,10,1080.0,216.0,1296.0,Retard,0.0,922,2023,9,3,20230908,20231023,,Contentieux > 90j
FAC-2023-00027,2023-02-13,2023-03-15,2023-03-18,CLI-0065,SVC-021,DEPT-007,1,800.0,5,760.0,152.0,912.0,Payée,760.0,3,2023,2,1,20230213,20230315,20230318.0,Retard < 30j
FAC-2023-00028,2024-02-29,2024-03-30,,CLI-0063,SVC-003,DEPT-002,1,22000.0,0,22000.0,4400.0,26400.0,Retard,0.0,763,2024,2,1,20240229,20240330,,Contentieux > 90j
FAC-2023-00029,2023-01-06,2023-02-05,,CLI-0104,SVC-005,DEPT-002,1,15000.0,0,15000.0,3000.0,18000.0,Contentieux,0.0,1182,2023,1,1,20230106,20230205,,Contentieux > 90j
FAC-2023-00030,2023-12-24,2024-01-23,,CLI-0166,SVC-009,DEPT-003,1,180.0,0,180.0,36.0,216.0,Partielle,65.86,830,2023,12,4,20231224,20240123,,Contentieux > 90j
FAC-2023-00031,2024-10-25,2024-12-24,2025-01-14,CLI-0074,SVC-019,DEPT-007,2,180.0,0,360.0,72.0,432.0,Payée,360.0,21,2024,10,4,20241025,20241224,20250114.0,Retard < 30j
FAC-2023-00032,2023-05-11,2023-06-25,2023-06-26,CLI-0037,SVC-024,DEPT-004,8,700.0,0,5600.0,1120.0,6720.0,Payée,5600.0,1,2023,5,2,20230511,20230625,20230626.0,Retard < 30j
FAC-2023-00033,2023-03-30,2023-04-29,,CLI-0155,SVC-008,DEPT-003,1,2500.0,5,2375.0,475.0,2850.0,Partielle,1494.95,1099,2023,3,1,20230330,20230429,,Contentieux > 90j
FAC-2023-00034,2023-03-05,2023-05-04,,CLI-0143,SVC-021,DEPT-004,1,800.0,15,680.0,136.0,816.0,Retard,0.0,1094,2023,3,1,20230305,20230504,,Contentieux > 90j
FAC-2023-00035,2025-06-27,2025-08-11,2025-08-15,CLI-0033,SVC-016,DEPT-001,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,4,2025,6,2,20250627,20250811,20250815.0,Retard < 30j
FAC-2023-00036,2024-10-27,2024-11-26,2024-12-09,CLI-0041,SVC-009,DEPT-004,1,180.0,0,180.0,36.0,216.0,Payée,180.0,13,2024,10,4,20241027,20241126,20241209.0,Retard < 30j
FAC-2023-00037,2025-05-31,2025-06-30,2025-07-30,CLI-0156,SVC-020,DEPT-002,2,1400.0,5,2660.0,532.0,3192.0,Payée,2660.0,30,2025,5,2,20250531,20250630,20250730.0,Retard < 30j
FAC-2023-00038,2024-04-12,2024-05-27,,CLI-0136,SVC-015,DEPT-004,1,2800.0,0,2800.0,560.0,3360.0,Retard,0.0,705,2024,4,2,20240412,20240527,,Contentieux > 90j
FAC-2023-00039,2023-07-14,2023-08-28,,CLI-0132,SVC-024,DEPT-003,6,700.0,0,4200.0,840.0,5040.0,Retard,0.0,978,2023,7,3,20230714,20230828,,Contentieux > 90j
